Latitude,Longitude,Desc
35.967413,-114.842883,City A
36.286788,-115.286039,OMG 
36.113634,-115.125727,City B
36.215643,-115.248906,Place C
34.02009619979822,-118.28384330363707,doheny Library
34.02350105321015,-118.28655874462612,cinematic arts
34.02495122100054,-118.28892224259157,usc pharmacy
34.02379689348719,-118.2899038937467,dedeaux field
34.0231329976804,-118.28767765396064,john mckay
34.02290325831203,-118.28708025978308,little galen
34.02239228402551,-118.28607663762608,bing theatre
34.02123893882575,-118.2866044691909,physical education
34.02067645981281,-118.28960099833539,viterbi
34.01918190941739,-118.2880299876945,architecture
34.01997970010885,-118.28623668013563,admission center
34.018840583598056,-118.28586576536743,marshall